Month,p05,p25,p50,p75,p95
231,2722094.8071698495,6136020.382106604,10199603.581756255,16072446.196085773,70014002.37362912
232,2754666.4443848594,6176750.102822824,10290232.876674693,16353201.268188916,70014002.37362912
233,2799796.8240837436,6255138.95267859,10415400.861440506,16571315.96407823,70014002.37362912
234,2795276.8707151306,6265578.460723048,10534350.818676334,16740276.289637469,70014002.37362912
235,2829404.5805361406,6348768.558145344,10553037.870388474,16874763.47360205,70014002.37362912
236,2839566.2688706773,6386219.2757098,10751257.458192825,17003970.886253204,70014002.37362912
237,2869530.297241237,6476331.558523801,10784605.115237787,17288372.78285783,70014002.37362912
238,2867674.371885605,6534846.794060162,10882020.423170999,17471317.0646278,70014002.37362912
239,2887426.9109444898,6545586.345695597,10954119.41655124,17741279.266296506,70014002.37362912
240,2912526.4079524493,6646536.230882142,11111388.002945662,17849513.35664098,70014002.37362912
241,2930258.3553384203,6687746.4357868405,11208219.315787073,17965547.42299317,70014002.37362912
242,2950070.392797049,6777065.711074675,11288930.98615567,18239126.06083574,70014002.37362912
243,2985069.058755223,6835665.464560362,11353174.400371224,18528986.054244015,70014002.37362912
244,3046012.3397886683,6877022.52041823,11497337.191669878,18738216.608956724,70014002.37362912
245,3020793.0265912097,6886620.0810431,11607311.959432984,18876015.837314032,70014002.37362912
246,3040380.972514436,6952687.842123045,11692759.791901749,19140639.923359253,70014002.37362912
247,3049433.1511595305,7030576.50940807,11828959.909710564,19283828.179720912,70014002.37362912
248,3092805.160873661,7064817.694153687,11947406.863729296,19601008.98405885,70014002.37362912
249,3130242.4949822193,7151179.831568435,12010502.292946456,19747675.024830483,70014002.37362912
250,3126938.1312234127,7212003.654243771,12246096.124416804,20039193.641826596,70014002.37362912
251,3172779.6794594466,7300050.249118411,12307550.801991485,20194168.311747853,70014002.37362912
252,3172584.8141843025,7359017.515616404,12405357.22884621,20299499.00526628,70014002.37362912
253,3184734.2564905616,7451755.6471682275,12564461.26623762,20516059.62334913,70014002.37362912
254,3247714.1126451413,7476304.122457039,12652942.04216646,20867585.73490431,70014002.37362912
255,3310129.3997484804,7571449.267069273,12819502.000913449,21107670.39637976,70014002.37362912
256,3288972.1363655655,7601621.947004171,12838125.940066844,21187088.026560966,70014002.37362912
257,3332266.220423521,7708588.274969008,13097912.309905902,21519117.88892377,70014002.37362912
258,3387248.135105604,7768421.349284157,13206221.248949807,21834408.608981095,70014002.37362912
259,3381511.7456548885,7826672.788854431,13366763.894794062,22104127.731742427,70014002.37362912
260,3389952.280057731,7913036.242969441,13460492.20209862,22163865.429129988,70014002.37362912
261,3448212.7830981794,8005117.409478745,13614581.57607566,22337221.49656697,70014002.37362912
262,3467047.473552049,8071754.206520457,13747157.51677744,22630715.343392547,70014002.37362912
263,3501583.2491329457,8206042.30444381,13891404.967419412,22977332.345482066,70014002.37362912
264,3513601.838699623,8285033.88161843,14043730.24457768,23275320.725207083,70014002.37362912
265,3548103.1838122495,8321263.78909464,14159590.775885573,23408466.605651267,70014002.37362912
